ts,level,relevant_count,tier3_count,failed_count,sources_scanned
2026-08-09T08:13:16.880792+00:00,QUIET,0,0,0,131
2026-08-09T11:52:20.150611+00:00,QUIET,0,0,0,132
2026-08-09T15:07:06.383011+00:00,QUIET,0,0,0,133
2026-08-09T15:54:51.819442+00:00,QUIET,0,0,0,133
2026-08-09T19:56:21.016685+00:00,QUIET,0,0,0,133
2026-08-09T23:57:30.125551+00:00,QUIET,0,0,0,133
2026-08-10T05:01:19.112139+00:00,QUIET,0,0,0,133
2026-08-10T09:02:07.389188+00:00,QUIET,0,0,0,133
2026-08-10T12:10:33.657472+00:00,QUIET,0,0,0,134
2026-08-10T16:20:59.200282+00:00,QUIET,0,0,0,134
2026-08-10T20:12:34.694624+00:00,QUIET,0,0,0,134
2026-08-11T00:02:15.443457+00:00,QUIET,0,0,0,134
2026-08-11T04:42:01.242192+00:00,QUIET,0,0,0,135
2026-08-11T08:29:04.323097+00:00,QUIET,0,0,0,135
2026-08-11T12:05:55.725316+00:00,QUIET,0,0,0,135
2026-08-11T16:22:22.959367+00:00,QUIET,0,0,0,135
2026-08-11T20:18:51.777616+00:00,QUIET,0,0,0,136
2026-08-12T00:09:09.432822+00:00,QUIET,0,0,0,136
2026-08-12T05:10:11.792704+00:00,QUIET,0,0,0,136
2026-08-12T08:52:25.364860+00:00,QUIET,0,0,0,136
2026-08-12T12:09:41.322351+00:00,QUIET,0,0,0,136
2026-08-12T16:20:22.085932+00:00,WATCH,1,0,0,136
2026-08-12T20:18:50.265055+00:00,QUIET,0,0,0,137
2026-08-13T00:10:35.323907+00:00,QUIET,0,0,0,137
2026-08-13T05:15:07.609435+00:00,QUIET,0,0,0,138
2026-08-13T08:56:47.447531+00:00,QUIET,0,0,0,138
2026-08-13T12:10:13.785539+00:00,QUIET,0,0,0,138
2026-08-13T16:20:46.381334+00:00,QUIET,0,0,0,138
2026-08-13T20:14:03.208286+00:00,QUIET,0,0,0,138
2026-08-14T00:09:01.749624+00:00,QUIET,0,0,0,138
2026-08-14T05:12:03.962175+00:00,QUIET,0,0,0,138
2026-08-14T08:41:32.672579+00:00,QUIET,0,0,0,138
2026-08-14T10:42:44.948179+00:00,QUIET,0,0,0,138
2026-08-14T12:08:05.768648+00:00,WATCH,1,0,0,138
2026-08-14T16:15:36.343046+00:00,QUIET,0,0,0,138
2026-08-14T20:00:48.375449+00:00,QUIET,0,0,0,138
2026-08-14T23:49:08.601837+00:00,WATCH,1,0,0,138
2026-08-15T04:03:26.481528+00:00,QUIET,0,0,0,138
2026-08-15T07:54:34.736819+00:00,QUIET,0,0,0,138
2026-08-15T11:43:41.873503+00:00,QUIET,0,0,0,138
2026-08-15T15:47:04.145010+00:00,QUIET,0,1,1,138
2026-08-15T19:45:21.365532+00:00,QUIET,0,0,1,138
2026-08-15T23:48:06.486754+00:00,QUIET,0,0,1,138
2026-08-16T04:11:41.847375+00:00,QUIET,0,0,1,138
2026-08-16T07:56:56.322884+00:00,QUIET,0,0,1,138
2026-08-16T11:44:48.352498+00:00,QUIET,0,0,1,138
2026-08-16T15:47:24.309365+00:00,QUIET,0,0,1,138
2026-08-16T19:43:35.184178+00:00,QUIET,0,0,1,138
2026-08-16T23:47:45.528457+00:00,QUIET,0,0,1,138
2026-08-17T04:13:39.357056+00:00,QUIET,0,0,1,138
2026-08-17T08:15:11.658466+00:00,WATCH,2,0,1,138
2026-08-17T11:49:25.712185+00:00,QUIET,0,0,1,138
2026-08-17T15:50:37.287191+00:00,WATCH,2,0,1,138
2026-08-17T19:52:09.312475+00:00,WATCH,3,0,1,138
2026-08-17T23:48:52.439255+00:00,WATCH,3,0,1,138
2026-08-18T04:07:55.781897+00:00,QUIET,0,0,1,138
2026-08-18T08:05:53.139218+00:00,WATCH,2,0,1,138
2026-08-18T11:48:32.334745+00:00,WATCH,1,1,1,138
